path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
31,g_chan[1].u_cdc_chr.rbin[3]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29063;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
32,g_chan[1].u_cdc_chr.rbin[4]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29063;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
33,g_chan[1].u_cdc_chr.rbin[5]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
34,g_chan[1].u_cdc_chr.rgray[0]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29063;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
35,g_chan[1].u_cdc_chr.rgray[1]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29063;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
36,g_chan[1].u_cdc_chr.rgray[2]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29063;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
37,g_chan[1].u_cdc_chr.rq1_wgray[1]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
38,g_chan[1].u_cdc_chr.rq1_wgray[3]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
39,g_chan[1].u_cdc_chr.rq1_wgray[5]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
40,g_chan[1].u_cdc_chr.rq2_wgray[1]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
41,g_chan[1].u_cdc_chr.rq2_wgray[3]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
42,g_chan[1].u_cdc_chr.rq2_wgray[5]$_DFF_PN0_,clk_core,4.4,-0.97,22699;23584;23662;23671;23677;29061;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
43,g_chan[1].u_cdc_chr.rq2_wgray[2]$_DFF_PN0_,clk_core,4.4,-0.97,22703;23584;23662;23671;23677;29070;41355;41369;41370;41373;48185;48187;48188;48200;48201;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
