path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
96,gen_regfile_ff.register_file_i.rf_reg[800]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
97,gen_regfile_ff.register_file_i.rf_reg[828]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
98,gen_regfile_ff.register_file_i.rf_reg[832]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
99,gen_regfile_ff.register_file_i.rf_reg[860]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
100,gen_regfile_ff.register_file_i.rf_reg[864]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
101,gen_regfile_ff.register_file_i.rf_reg[866]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
102,gen_regfile_ff.register_file_i.rf_reg[892]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
103,gen_regfile_ff.register_file_i.rf_reg[896]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
104,gen_regfile_ff.register_file_i.rf_reg[960]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
105,gen_regfile_ff.register_file_i.rf_reg[96]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
106,gen_regfile_ff.register_file_i.rf_reg[97]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
107,gen_regfile_ff.register_file_i.rf_reg[396]$_DFFE_PN0P_,clk_core,1.29,-1.13,2529;4088;4296;10025;14880;14882;14883;14889;15288
108,gen_regfile_ff.register_file_i.rf_reg[460]$_DFFE_PN0P_,clk_core,1.29,-1.13,2529;4088;4296;10025;14880;14882;14883;14889;15288
109,gen_regfile_ff.register_file_i.rf_reg[492]$_DFFE_PN0P_,clk_core,1.29,-1.13,2529;4088;4296;10025;14880;14882;14883;14889;15288
110,gen_regfile_ff.register_file_i.rf_reg[611]$_DFFE_PN0P_,clk_core,1.29,-1.13,2001;4088;4126;10025;14880;14886;14887;14889;15288
111,gen_regfile_ff.register_file_i.rf_reg[643]$_DFFE_PN0P_,clk_core,1.29,-1.13,2001;4088;4126;10025;14880;14886;14887;14889;15288
112,gen_regfile_ff.register_file_i.rf_reg[675]$_DFFE_PN0P_,clk_core,1.29,-1.13,2001;4088;4126;10025;14880;14886;14887;14889;15288
113,gen_regfile_ff.register_file_i.rf_reg[707]$_DFFE_PN0P_,clk_core,1.29,-1.13,2001;4088;4126;10025;14880;14886;14887;14889;15288
114,gen_regfile_ff.register_file_i.rf_reg[739]$_DFFE_PN0P_,clk_core,1.29,-1.13,2001;4088;4126;10025;14880;14886;14887;14889;15288
115,gen_regfile_ff.register_file_i.rf_reg[109]$_DFFE_PN0P_,clk_core,1.29,-1.13,2183;4088;4292;10025;14880;14882;14883;14889;15288
116,gen_regfile_ff.register_file_i.rf_reg[158]$_DFFE_PN0P_,clk_core,1.29,-1.13,2188;4088;4292;10025;14880;14882;14883;14889;15288
117,gen_regfile_ff.register_file_i.rf_reg[205]$_DFFE_PN0P_,clk_core,1.29,-1.13,2185;4088;4292;10025;14880;14882;14883;14889;15288
118,gen_regfile_ff.register_file_i.rf_reg[237]$_DFFE_PN0P_,clk_core,1.29,-1.13,2188;4088;4292;10025;14880;14882;14883;14889;15288
119,gen_regfile_ff.register_file_i.rf_reg[45]$_DFFE_PN0P_,clk_core,1.29,-1.13,2183;4088;4292;10025;14880;14882;14883;14889;15288
120,gen_regfile_ff.register_file_i.rf_reg[525]$_DFFE_PN0P_,clk_core,1.29,-1.13,2185;4088;4292;10025;14880;14882;14883;14889;15288
121,gen_regfile_ff.register_file_i.rf_reg[529]$_DFFE_PN0P_,clk_core,1.29,-1.13,2183;4088;4292;10025;14880;14882;14883;14889;15288
122,gen_regfile_ff.register_file_i.rf_reg[557]$_DFFE_PN0P_,clk_core,1.29,-1.13,2185;4088;4292;10025;14880;14882;14883;14889;15288
123,gen_regfile_ff.register_file_i.rf_reg[561]$_DFFE_PN0P_,clk_core,1.29,-1.13,2703;4088;4292;10025;14880;14882;14883;14889;15288
124,gen_regfile_ff.register_file_i.rf_reg[589]$_DFFE_PN0P_,clk_core,1.29,-1.13,2183;4088;4292;10025;14880;14882;14883;14889;15288
125,gen_regfile_ff.register_file_i.rf_reg[593]$_DFFE_PN0P_,clk_core,1.29,-1.13,2703;4088;4292;10025;14880;14882;14883;14889;15288
126,gen_regfile_ff.register_file_i.rf_reg[621]$_DFFE_PN0P_,clk_core,1.29,-1.13,2183;4088;4292;10025;14880;14882;14883;14889;15288
127,gen_regfile_ff.register_file_i.rf_reg[699]$_DFFE_PN0P_,clk_core,1.29,-1.13,2703;4088;4292;10025;14880;14882;14883;14889;15288
128,gen_regfile_ff.register_file_i.rf_reg[721]$_DFFE_PN0P_,clk_core,1.29,-1.13,2703;4088;4292;10025;14880;14882;14883;14889;15288
129,gen_regfile_ff.register_file_i.rf_reg[753]$_DFFE_PN0P_,clk_core,1.29,-1.13,2703;4088;4292;10025;14880;14882;14883;14889;15288
130,gen_regfile_ff.register_file_i.rf_reg[77]$_DFFE_PN0P_,clk_core,1.29,-1.13,2183;4088;4292;10025;14880;14882;14883;14889;15288
131,gen_regfile_ff.register_file_i.rf_reg[894]$_DFFE_PN0P_,clk_core,1.29,-1.13,2185;4088;4292;10025;14880;14882;14883;14889;15288
132,gen_regfile_ff.register_file_i.rf_reg[126]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4292;7720;10025;14880;14882;14883;14889;15288
133,gen_regfile_ff.register_file_i.rf_reg[190]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4292;6700;10025;14880;14882;14883;14889;15288
134,gen_regfile_ff.register_file_i.rf_reg[222]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4292;6700;10025;14880;14882;14883;14889;15288
135,gen_regfile_ff.register_file_i.rf_reg[254]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4292;6700;10025;14880;14882;14883;14889;15288
136,gen_regfile_ff.register_file_i.rf_reg[62]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4292;7720;10025;14880;14882;14883;14889;15288
137,gen_regfile_ff.register_file_i.rf_reg[94]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4292;7720;10025;14880;14882;14883;14889;15288
138,gen_regfile_ff.register_file_i.rf_reg[1004]$_DFFE_PN0P_,clk_core,1.29,-1.13,2414;4088;4293;10025;14880;14882;14883;14889;15288
139,gen_regfile_ff.register_file_i.rf_reg[267]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
140,gen_regfile_ff.register_file_i.rf_reg[331]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
141,gen_regfile_ff.register_file_i.rf_reg[332]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
142,gen_regfile_ff.register_file_i.rf_reg[364]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
143,gen_regfile_ff.register_file_i.rf_reg[395]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
144,gen_regfile_ff.register_file_i.rf_reg[427]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
145,gen_regfile_ff.register_file_i.rf_reg[428]$_DFFE_PN0P_,clk_core,1.29,-1.13,2526;4088;4293;10025;14880;14882;14883;14889;15288
146,gen_regfile_ff.register_file_i.rf_reg[461]$_DFFE_PN0P_,clk_core,1.29,-1.13,2414;4088;4293;10025;14880;14882;14883;14889;15288
147,gen_regfile_ff.register_file_i.rf_reg[493]$_DFFE_PN0P_,clk_core,1.29,-1.13,2414;4088;4293;10025;14880;14882;14883;14889;15288
148,gen_regfile_ff.register_file_i.rf_reg[909]$_DFFE_PN0P_,clk_core,1.29,-1.13,2414;4088;4293;10025;14880;14882;14883;14889;15288
149,gen_regfile_ff.register_file_i.rf_reg[940]$_DFFE_PN0P_,clk_core,1.29,-1.13,2414;4088;4293;10025;14880;14882;14883;14889;15288
150,gen_regfile_ff.register_file_i.rf_reg[972]$_DFFE_PN0P_,clk_core,1.29,-1.13,2414;4088;4293;10025;14880;14882;14883;14889;15288
151,gen_regfile_ff.register_file_i.rf_reg[34]$_DFFE_PN0P_,clk_core,1.29,-1.13,2099;4088;4285;10025;14880;14886;14887;14889;15288
