inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
6567,_32857_,ch_ctrl,MUX2_X1,357.865,84.7,1.862,4.096,0,0,0
6568,_32858_,ch_ctrl,MUX2_X1,358.245,90.3,1.862,4.096,0,0,0
6569,_32859_,ch_ctrl,MUX2_X1,364.895,90.3,1.862,4.096,0,0,0
6570,_32860_,ch_ctrl,MUX2_X1,370.025,90.3,1.862,4.096,0,0,0
6571,_32861_,ch_ctrl,OAI21_X1,371.45,90.3,1.064,2.341,0,0,0
6572,_32862_,ch_ctrl,OAI21_X1,370.5,170.1,1.064,2.341,0,0,0
6573,_32863_,ch_ctrl,MUX2_X1,376.485,170.1,1.862,4.096,0,0,0
6574,clkbuf_leaf_116_clk_core_g,ch_ctrl,CLKBUF_X3,156.465,356.3,1.33,2.926,0,1,0
6575,_32865_,ch_ctrl,MUX2_X1,334.115,156.1,1.862,4.096,0,0,0
6576,_32866_,ch_ctrl,MUX2_X1,337.155,157.5,1.862,4.096,0,0,0
6577,_32867_,ch_ctrl,MUX2_X1,337.535,156.1,1.862,4.096,0,0,0
6578,_32868_,ch_ctrl,MUX2_X1,340.955,157.5,1.862,4.096,0,0,0
6579,_32869_,ch_ctrl,MUX2_X1,340.195,151.9,1.862,4.096,0,0,0
6580,_32870_,ch_ctrl,MUX2_X1,341.335,156.1,1.862,4.096,0,0,0
6581,_32871_,ch_ctrl,MUX2_X1,341.715,154.7,1.862,4.096,0,0,0
6582,_32872_,ch_ctrl,MUX2_X1,347.985,157.5,1.862,4.096,0,0,0
6583,_32873_,ch_ctrl,MUX2_X1,349.505,158.9,1.862,4.096,0,0,0
6584,_32874_,ch_ctrl,MUX2_X1,349.505,157.5,1.862,4.096,0,0,0
6585,_32875_,ch_ctrl,MUX2_X1,346.275,151.9,1.862,4.096,0,0,0
6586,clkbuf_leaf_115_clk_core_g,ch_ctrl,CLKBUF_X3,162.925,352.1,1.33,2.926,0,1,0
6587,_32877_,ch_ctrl,MUX2_X1,349.315,153.3,1.862,4.096,0,0,0
6588,_32878_,ch_ctrl,MUX2_X1,348.175,154.7,1.862,4.096,0,0,0
6589,_32879_,ch_ctrl,MUX2_X1,349.505,154.7,1.862,4.096,0,0,0
6590,_32880_,ch_ctrl,MUX2_X1,343.045,154.7,1.862,4.096,0,0,0
