fit_scope,design,scenario,target,signoff_clean,k_sheet,k_bump,r2,mae_mv,rmse_mv,bias_mv,spearman,pearson,label_max_mv,n
uniform_supply,orfs_ssd_ctrl_cfg_run_04_p16,seq_write/scale,tile_mean,False,0.22177021474911612,2.217702147491161,-2.320572660460907,0.1401261638439847,0.17650332515127862,-0.05597359215543156,-0.3682189233466968,-0.4014537740097186,0.5175119342105263,576
uniform_supply,orfs_ssd_ctrl_cfg_run_04_p16,seq_write/scale,tile_max,False,0.20378121639181157,2.0378121639181157,-2.444694646793598,0.14569528972907844,0.18251430868659807,-0.057797001856359574,-0.3253790704865123,-0.3499244022643879,0.5558103157894738,576
uniform_supply,orfs_ssd_ctrl_cfg_mid,seq_write/scale,tile_mean,True,0.5566263225135542,5.5662632251355415,0.4620457505912441,0.13621800571283343,0.15838218588848255,0.006830996484283337,0.539532926164948,0.6854617317827411,0.8627525789473685,576
uniform_supply,orfs_ssd_ctrl_cfg_mid,seq_write/scale,tile_max,True,0.436285828794378,4.36285828794378,0.3982210144858288,0.17470828189919288,0.20610805289557746,0.0005989399035784741,0.47653250470907804,0.6310789854177984,1.2746093684210527,576
ratio_sweep,orfs_ibex,bump_ratio=0.1,tile_mean,True,302.856461704841,30.285646170484103,-0.28177108652089733,0.7161008537871154,0.9906220294044674,-0.09652924397260516,-0.08663796989478419,-0.16522624502471497,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=0.1,tile_max,True,252.52381171205377,25.25238117120538,-0.29684171478605825,0.8648825618457984,1.1940322682149023,-0.11961673730902943,-0.11305226487394134,-0.18348878632354748,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=0.5,tile_mean,True,188.7026476636355,94.35132383181775,-0.6956879439335022,0.8212342902158993,1.139398681049787,-0.2514561902307297,-0.11958350209763528,-0.20764463824847657,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=0.5,tile_max,True,157.58788978602726,78.79394489301363,-0.7216123534019308,0.9919941774573218,1.3757523484078755,-0.30820881630769015,-0.1456269033067347,-0.22659291888491295,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=1,tile_mean,True,175.65874605496955,175.65874605496955,-0.8100969748334312,0.8463287034715502,1.1772092541154415,-0.2956407359756205,-0.1247837212409594,-0.21550069333901065,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=1,tile_max,True,146.75491866109127,146.75491866109127,-0.8384189980336259,1.022156681308569,1.4216569986081262,-0.3618248885382377,-0.15084298732823,-0.23460792943191178,6.9664980000000005,576
