variant,seed,fold,design,picp,mpiw_mv
learned_only,4,2,syn_006,0.7326388888888888,8.795620860116802
learned_only,4,2,syn_008,0.7352430555555556,9.341260634625824
hybrid,4,2,syn_004,0.8486689814814815,5.502197523594777
hybrid,4,2,syn_006,0.7526041666666666,5.585449855656618
hybrid,4,2,syn_008,0.7766203703703703,5.5271550334879755
learned_only,4,3,syn_004,0.40653935185185186,9.560976356547764
learned_only,4,3,syn_006,0.7485532407407407,10.483284715417597
learned_only,4,3,syn_008,0.7086226851851852,10.597607769942499
hybrid,4,3,syn_004,0.6134259259259259,5.7586860569879175
hybrid,4,3,syn_006,0.6710069444444444,5.506831118806831
hybrid,4,3,syn_008,0.7123842592592593,5.464557748162983
learned_only,4,4,syn_004,0.9331597222222222,12.931928699201444
learned_only,4,4,syn_006,0.8967013888888888,12.32131203727451
learned_only,4,4,syn_008,0.9212962962962963,13.553295573095744
hybrid,4,4,syn_004,0.9806134259259259,7.191067285326729
hybrid,4,4,syn_006,0.8148148148148148,6.28041909424624
hybrid,4,4,syn_008,0.8666087962962963,6.780079021687124
